timestamp,asset_pair,initial_budget,adjusted_budget,buy_exchange,sell_exchange,network_used,fees,quantities,buy_prices,sell_prices,net_profit,net_profit_percentage
2025-04-09T19:58:00.567680,NULSUSDT,10000.0,550.5005729155,OKX,Binance,nuls,"{'maker_fee_asset': 10.739938565, 'taker_fee_usdt': 0.5532768172614023, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 10739.938564999999, 'after_fees': 10729.198626434998, 'after_withdrawal': 10729.190626434998}","{'current': 0.051, 'average': 0.05125732978673701, 'end': 0.0514}","{'current': 0.0516, 'average': 0.051567432859121486, 'end': 0.0515}",2.222967528640993,0.40380839512445177
2025-04-09T20:02:04.132056,NULSUSDT,10000.0,1006.3650830443,OKX,Binance,nuls,"{'maker_fee_asset': 19.566454128, 'taker_fee_usdt': 1.0096395911717952, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 19566.454128, 'after_fees': 19546.887673872003, 'after_withdrawal': 19546.879673872}","{'current': 0.0512, 'average': 0.05143318643535779, 'end': 0.0516}","{'current': 0.0517, 'average': 0.0516522129371556, 'end': 0.0516}",2.2648685363234335,0.2250543639165325
2025-04-09T20:05:58.724806,NULSUSDT,10000.0,2217.2026993878,OKX,Binance,nuls,"{'maker_fee_asset': 43.022818021, 'taker_fee_usdt': 2.225946998394014, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 43022.818021, 'after_fees': 42979.795202978996, 'after_withdrawal': 42979.787202978994}","{'current': 0.0512, 'average': 0.05153550607274387, 'end': 0.0516}","{'current': 0.0519, 'average': 0.05179055419426856, 'end': 0.0517}",6.518352007819885,0.29398990041008394
2025-04-09T20:06:17.935794,NULSUSDT,10000.0,521.5071517943,OKX,Binance,nuls,"{'maker_fee_asset': 10.129502209, 'taker_fee_usdt': 0.5250519918117739, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 10129.502209, 'after_fees': 10119.372706791, 'after_withdrawal': 10119.364706791}","{'current': 0.0512, 'average': 0.05148398618551502, 'end': 0.0516}","{'current': 0.0519, 'average': 0.051885865074061115, 'end': 0.0518}",3.0197880256621374,0.5790501655197327
2025-04-09T20:11:02.570735,NULSUSDT,10000.0,1569.0584469237,OKX,Binance,nuls,"{'maker_fee_asset': 30.615605042000002, 'taker_fee_usdt': 1.5744026458596414, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 30615.605042000003, 'after_fees': 30584.989436958003, 'after_withdrawal': 30584.981436958}","{'current': 0.051, 'average': 0.05125028379387531, 'end': 0.0514}","{'current': 0.0516, 'average': 0.051476331581394356, 'end': 0.0514}",3.7697962900815583,0.24025850008791133
2025-04-09T20:15:41.348806,NULSUSDT,10000.0,2737.6558555143,OKX,Binance,nuls,"{'maker_fee_asset': 53.30488525400001, 'taker_fee_usdt': 2.7473780769904197, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 53304.88525400001, 'after_fees': 53251.58036874601, 'after_withdrawal': 53251.572368746005}","{'current': 0.0511, 'average': 0.051358441960230386, 'end': 0.0515}","{'current': 0.0518, 'average': 0.0515924310735074, 'end': 0.0515}",6.974843399128986,0.2547742947704682
2025-04-09T20:25:59.588732,NULSUSDT,10000.0,1343.5416097807,OKX,Binance,nuls,"{'maker_fee_asset': 26.257818902, 'taker_fee_usdt': 1.3487488284712372, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 26257.818902, 'after_fees': 26231.561083098, 'after_withdrawal': 26231.553083098}","{'current': 0.0508, 'average': 0.05116729667437707, 'end': 0.0513}","{'current': 0.0515, 'average': 0.05141704054649696, 'end': 0.0514}",3.858469862065931,0.2871864804169133
2025-04-09T20:28:14.354111,NULSUSDT,10000.0,1402.9565863088,OKX,Binance,nuls,"{'maker_fee_asset': 27.496228134000003, 'taker_fee_usdt': 1.4072717639803392, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 27496.228134, 'after_fees': 27468.731905866, 'after_withdrawal': 27468.723905865998}","{'current': 0.0508, 'average': 0.051023601472596075, 'end': 0.0512}","{'current': 0.0513, 'average': 0.051231785240661055, 'end': 0.0512}",2.907905907558643,0.20726984255509912
2025-04-09T20:31:28.487923,NULSUSDT,10000.0,926.4350323932999,OKX,Binance,nuls,"{'maker_fee_asset': 18.206594021, 'taker_fee_usdt': 0.9339431646040225, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 18206.594021, 'after_fees': 18188.387426979, 'after_withdrawal': 18188.379426978998}","{'current': 0.0508, 'average': 0.05088458782157297, 'end': 0.0512}","{'current': 0.0514, 'average': 0.05134834405415447, 'end': 0.0513}",6.57418904611859,0.709622241846274
2025-04-09T20:36:59.240906,NULSUSDT,10000.0,776.1291264442,OKX,Binance,nuls,"{'maker_fee_asset': 15.263352011000002, 'taker_fee_usdt': 0.780701729740237, 'withdrawal_fee_asset': 0.008}","{'bought_qty': 15263.352011, 'after_fees': 15248.088658989001, 'after_withdrawal': 15248.080658989002}","{'current': 0.0507, 'average': 0.05084919262065494, 'end': 0.0511}","{'current': 0.0512, 'average': 0.0512, 'end': 0.0512}",3.7919015662967013,0.4885658116799616
